| N  | IP             | AS             | COUNTRY        | PROVIDER              |
| 1  | 173.196.20.34  | AS20001        | US             | Charter Communications|
| 2  | 192.168.3.1    | -              | -              | -                     |
| 3  | 46.48.7.1      | AS12668        | RU             | LLC KomTehCentr       |
| 4  | 92.242.29.210  | AS12668        | RU             | LLC KomTehCentr       |
| 5  | 5.140.215.238  | AS12389        | RU             | PJSC Rostelecom       |
| 6  | 5.140.215.237  | AS12389        | RU             | PJSC Rostelecom       |
| 7  | 87.226.133.111 | AS12389        | SE             | PJSC Rostelecom       |
| 8  | 213.155.129.46 | AS1299         | SE             | Telia Company         |
| 9  | 62.115.139.186 | AS1299         | SE             | Telia Company         |
| 10 | 62.115.139.173 | AS1299         | DK             | Telia Company         |
| 11 | 80.91.254.91   | AS1299         | US             | Telia Company         |
| 12 | 62.115.136.201 | AS1299         | US             | Telia Company         |
| 13 | 62.115.121.220 | AS1299         | US             | Telia Company         |
| 14 | 62.115.156.225 | AS1299         | US             | Telia Company         |
| 15 | 66.109.5.122   | AS7843         | US             | Charter Communications|
| 16 | 66.109.6.103   | AS7843         | US             | Charter Communications|
| 17 | 72.129.33.1    | AS20001        | US             | Charter Communications|
| 18 | 72.129.33.203  | AS20001        | US             | Charter Communications|
| 19 | 24.43.181.213  | AS20001        | US             | Charter Communications|
